"","number","area","year","species","type","InpN","lenbin","obs_value","label","pred_value","nll","pearson"
"210",1,1,56,"Blue_whiting",0,807,5,0.00495662949194548,"catch",1.73713e-12,-87.087,3760.71390756366
"211",1,1,57,"Blue_whiting",0,811,1,1e-05,"catch",0.100154,0.0747083,-0.316439569267913
"212",1,1,57,"Blue_whiting",0,811,2,0.0271270036991369,"catch",0.350822,56.3145,-0.546503032369806
"213",1,1,57,"Blue_whiting",0,811,3,0.429099876695438,"catch",0.454262,19.8304,-0.0373331024333345
"214",1,1,57,"Blue_whiting",0,811,4,0.541307028360049,"catch",0.0947619,-765.01,1.45060268107989
"215",1,1,57,"Blue_whiting",0,811,5,0.00246609124537608,"catch",1.70748e-12,-42.1818,1887.25823223068
"216",1,1,58,"Blue_whiting",0,816,1,1e-05,"catch",0.0966391,0.0748774,-0.310836132125559
"217",1,1,58,"Blue_whiting",0,816,2,0.0269607843137255,"catch",0.299123,52.9423,-0.497625844909462
"218",1,1,58,"Blue_whiting",0,816,3,0.439950980392157,"catch",0.481753,32.5855,-0.0602261429636101
"219",1,1,58,"Blue_whiting",0,816,4,0.529411764705882,"catch",0.122486,-632.349,1.16271148457148
"220",1,1,58,"Blue_whiting",0,816,5,0.00367647058823529,"catch",1.64703e-12,-64.5787,2864.70786823332
"221",1,1,59,"Blue_whiting",0,817,1,1e-05,"catch",0.0714018,0.0724964,-0.267173728874163
"222",1,1,59,"Blue_whiting",0,817,2,0.02937576499388,"catch",0.262867,52.5955,-0.45540998447962
"223",1,1,59,"Blue_whiting",0,817,3,0.454100367197062,"catch",0.510596,43.5035,-0.0790635250348032
"224",1,1,59,"Blue_whiting",0,817,4,0.512851897184822,"catch",0.155135,-500.994,0.908206404292616
"225",1,1,59,"Blue_whiting",0,817,5,0.00367197062423501,"catch",1.63717e-12,-64.5931,2869.80447879125
"226",1,1,60,"Blue_whiting",0,794,1,1e-05,"catch",0.0568274,0.0686428,-0.238343033797329
"227",1,1,60,"Blue_whiting",0,794,2,0.0314861460957179,"catch",0.226827,49.366,-0.410152825218496
"228",1,1,60,"Blue_whiting",0,794,3,0.457178841309824,"catch",0.527641,52.033,-0.0970033374809094
"229",1,1,60,"Blue_whiting",0,794,4,0.508816120906801,"catch",0.188704,-400.73,0.736905106048352
"230",1,1,60,"Blue_whiting",0,794,5,0.00251889168765743,"catch",1.62463e-12,-42.3236,1976.20620546974
"231",1,1,61,"Blue_whiting",0,831,1,1e-05,"catch",0.110776,0.0773884,-0.332800241740782
"232",1,1,61,"Blue_whiting",0,831,2,0.0336943441636582,"catch",0.189432,48.3475,-0.357821936008752
"233",1,1,61,"Blue_whiting",0,831,3,0.475330926594465,"catch",0.494319,15.472,-0.0270070563236163
"234",1,1,61,"Blue_whiting",0,831,4,0.487364620938628,"catch",0.205473,-349.798,0.621877416928848
"235",1,1,61,"Blue_whiting",0,831,5,0.0036101083032491,"catch",1.48839e-12,-64.8279,2959.11510598525
"236",1,1,62,"Blue_whiting",0,787,1,1e-05,"catch",0.743042,0.0882693,-0.861987238962725
"237",1,1,62,"Blue_whiting",0,787,2,0.0266836086404066,"catch",0.13738,34.4127,-0.298656318522904
"238",1,1,62,"Blue_whiting",0,787,3,0.444726810673443,"catch",0.0827298,-588.658,1.25856020940289
"239",1,1,62,"Blue_whiting",0,787,4,0.524777636594663,"catch",0.0368487,-1096.99,2.54182407764735
"240",1,1,62,"Blue_whiting",0,787,5,0.00381194409148666,"catch",2.30005e-13,-70.5932,7948.36649124868
"241",1,1,63,"Blue_whiting",0,815,1,1e-05,"catch",0.516279,0.0884423,-0.718511656268494
"242",1,1,63,"Blue_whiting",0,815,2,0.0294478527607362,"catch",0.320042,57.26,-0.51366902179148
"243",1,1,63,"Blue_whiting",0,815,3,0.438036809815951,"catch",0.122555,-454.726,0.901174317738015
