"","survey","year","species","sizebin","inpN","prey","value","obs"
"345",1,9,"Blue_whiting",3,100,"Polar_cod",1e-06,0
"346",1,9,"Blue_whiting",3,100,"Redfish",0.0471407769670416,0
"347",1,9,"Blue_whiting",3,100,"Saithe",1e-06,0
"348",1,9,"Blue_whiting",3,100,"allotherprey",0.943547101440481,99
"349",1,9,"Blue_whiting",4,100,"Blue_whiting",1e-06,0
"350",1,9,"Blue_whiting",4,100,"Capelin",0.0119451744124155,0
"351",1,9,"Blue_whiting",4,100,"Green_halibut",1e-06,0
"352",1,9,"Blue_whiting",4,100,"Haddock",1e-06,0
"353",1,9,"Blue_whiting",4,100,"Long_rough_dab",1e-06,0
"354",1,9,"Blue_whiting",4,100,"Mackerel",1e-06,0
"355",1,9,"Blue_whiting",4,100,"North_atl_cod",1e-06,0
"356",1,9,"Blue_whiting",4,100,"Norwegian_ssh",0.000223251085882125,4
"357",1,9,"Blue_whiting",4,100,"Polar_cod",1e-06,0
"358",1,9,"Blue_whiting",4,100,"Redfish",0.0620156191183704,1
"359",1,9,"Blue_whiting",4,100,"Saithe",1e-06,0
"360",1,9,"Blue_whiting",4,100,"allotherprey",0.925815955383332,95
"361",1,9,"Blue_whiting",5,100,"Blue_whiting",1e-06,0
"362",1,9,"Blue_whiting",5,100,"Capelin",0.012009668112717,0
"363",1,9,"Blue_whiting",5,100,"Green_halibut",1e-06,0
"364",1,9,"Blue_whiting",5,100,"Haddock",1e-06,0
"365",1,9,"Blue_whiting",5,100,"Long_rough_dab",1e-06,0
"366",1,9,"Blue_whiting",5,100,"Mackerel",1e-06,0
"367",1,9,"Blue_whiting",5,100,"North_atl_cod",1e-06,0
"368",1,9,"Blue_whiting",5,100,"Norwegian_ssh",0.000267667605586507,2
"369",1,9,"Blue_whiting",5,100,"Polar_cod",1e-06,0
"370",1,9,"Blue_whiting",5,100,"Redfish",0.0629957356903607,2
"371",1,9,"Blue_whiting",5,100,"Saithe",1e-06,0
"372",1,9,"Blue_whiting",5,100,"allotherprey",0.924726928591336,96
"373",1,10,"Blue_whiting",3,100,"Blue_whiting",1e-06,0
"374",1,10,"Blue_whiting",3,100,"Capelin",0.00940036108484143,1
"375",1,10,"Blue_whiting",3,100,"Green_halibut",1e-06,0
"376",1,10,"Blue_whiting",3,100,"Haddock",1e-06,0
"377",1,10,"Blue_whiting",3,100,"Long_rough_dab",1e-06,0
"378",1,10,"Blue_whiting",3,100,"Mackerel",1e-06,0
"379",1,10,"Blue_whiting",3,100,"North_atl_cod",1e-06,0
"380",1,10,"Blue_whiting",3,100,"Norwegian_ssh",1e-06,1
"381",1,10,"Blue_whiting",3,100,"Polar_cod",1e-06,0
"382",1,10,"Blue_whiting",3,100,"Redfish",0.0433081481885388,0
"383",1,10,"Blue_whiting",3,100,"Saithe",1e-06,0
"384",1,10,"Blue_whiting",3,100,"allotherprey",0.94729149072662,98
"385",1,10,"Blue_whiting",4,100,"Blue_whiting",1e-06,0
