"","number","year","species","data","cv","predicted","residual","nll","numero"
"358",1,38,5,1537780,0.1,7.19548e+11,-13.056,8535.87,1000
"359",1,39,5,1664420,0.1,6.73449e+11,-12.9107,8347.24,1000
"360",1,40,5,1798940,0.1,6.40663e+11,-12.7831,8183.35,1000
"361",1,41,5,1597780,0.1,6.01124e+11,-12.8379,8253.54,1000
"362",1,42,5,1381120,0.1,5.54072e+11,-12.9022,8336.04,1000
"363",1,43,5,1401310,0.1,5.0708e+11,-12.799,8203.51,1000
"364",1,44,5,1705160,0.1,4.75846e+11,-12.5392,7874.53,1000
"365",1,45,5,1676040,0.1,4.95917e+11,-12.5977,7948.08,1000
"366",1,46,5,1519140,0.1,5.54665e+11,-12.808,8215.06,1000
"367",1,47,5,1362390,0.1,5.74419e+11,-12.9519,8400.29,1000
"368",1,48,5,1495180,0.1,6.36191e+11,-12.961,8412.22,1000
"369",1,49,5,1518950,0.1,7.83043e+11,-13.1529,8662.82,1000
"370",1,50,5,1354130,0.1,8.41701e+11,-13.34,8910.54,1000
"371",1,51,5,1651250,0.1,8.17672e+11,-13.1127,8610.06,1000
"372",1,52,5,1522530,0.1,7.69495e+11,-13.1331,8636.79,1000
"373",1,53,5,1654070,0.1,7.31498e+11,-12.9996,8462.43,1000
"374",1,54,5,1645100,0.1,7.10175e+11,-12.9755,8431.06,1000
"375",1,55,5,1755350,0.1,6.72862e+11,-12.8566,8277.64,1000
"376",1,56,5,1671620,0.1,6.22028e+11,-12.8269,8239.48,1000
"377",1,57,5,1603030,0.1,5.73416e+11,-12.7875,8188.87,1000
"378",1,58,5,1905000,0.1,5.45873e+11,-12.5657,7907.86,1000
"379",1,59,5,1485200,0.1,5.34933e+11,-12.7943,8197.59,1000
"380",1,60,5,1571980,0.1,5.14332e+11,-12.6983,8075.21,1000
"381",1,61,5,1781130,0.1,4.82721e+11,-12.5099,7837.95,1000
"382",1,62,5,1570130,0.1,4.50308e+11,-12.5665,7908.77,1000
"383",1,63,5,1766540,0.1,4.15448e+11,-12.3681,7661.49,1000
"384",1,64,5,1344530,0.1,3.83553e+11,-12.5612,7901.9,1000
"385",1,65,5,1539500,0.1,3.59437e+11,-12.3608,7652.38,1000
"386",1,66,5,1422380,0.1,3.33807e+11,-12.366,7658.67,1000
"387",1,67,5,1628050,0.1,3.07379e+11,-12.1485,7392.17,1000
"388",1,68,5,1389810,0.1,3.16891e+11,-12.3371,7623.02,1000
"389",1,69,5,1584870,0.1,3.98775e+11,-12.4356,7745.16,1000
"390",1,70,5,1443120,0.1,4.71479e+11,-12.6968,8073.27,1000
"391",1,71,5,1510540,0.1,4.87775e+11,-12.6851,8058.48,1000
"392",1,72,5,1688320,0.1,4.72343e+11,-12.5417,7877.7,1000
"393",1,73,5,1431720,0.1,4.41716e+11,-12.6395,8000.7,1000
