number,area,year,species,type,InpN,lenbin,obs_value,label,pred_value,nll,pearson,resid,res_abs,prey
1,1,17,2,0,994,3,0.615694165,catch,0.197698,-695.238,0.940093737,1,0.940093737,-99
1,1,17,2,0,994,4,0.086519115,catch,0.0204497,-124.046,0.462015971,1,0.462015971,-99
1,1,18,2,0,992,1,0.004032258,catch,0.364389,18.0156,-0.596966585,0,0.596966585,-99
1,1,18,2,0,992,2,0.26108871,catch,0.416452,120.93,-0.2407498,0,0.2407498,-99
1,1,18,2,0,992,3,0.638104839,catch,0.201001,-731.237,0.974957112,1,0.974957112,-99
1,1,18,2,0,992,4,0.096774194,catch,0.0181578,-160.635,0.583420255,1,0.583420255,-99
1,1,19,2,0,993,1,0.003021148,catch,0.196373,12.5231,-0.436322339,0,0.436322339,-99
1,1,19,2,0,993,2,0.271903323,catch,0.52317,176.704,-0.347386934,0,0.347386934,-99
1,1,19,2,0,993,3,0.63041289,catch,0.265075,-542.342,0.709594648,1,0.709594648,-99
1,1,19,2,0,993,4,0.094662638,catch,0.0153815,-170.812,0.6392497,1,0.6392497,-99
